source,source_id,title,date,artist,medium,classification,object_url,download_url,high_res_url,license_status,original_path,photopainter_bmp_path,preview_jpg_path,original_sha256
artic,1928.1091,"Abe no Nakamaro, seventh poet in the series One Hundred Poems by One Hundred Poets Explained by the Nurse",c. 1835/36,"Katsushika Hokusai 葛飾 北斎
Japanese, 1760-1849",Color woodblock print; yoko oban,woodblock print; print; asian art,https://www.artic.edu/artworks/89514,"https://www.artic.edu/iiif/2/f74ebce2-06f5-2f5a-bc42-49f6dd6ec20e/full/1686,/0/default.jpg",https://www.artic.edu/iiif/2/f74ebce2-06f5-2f5a-bc42-49f6dd6ec20e/full/full/0/default.jpg,public_domain,hokusai_photopainter/originals/artic/0014_artic_1928.1091_abe-no-nakamaro-seventh-poet-in-the-series-one-hundred-poems-by-one-hundred-poet.jpg,hokusai_photopainter/photopainter_800x480_bmp/0014_artic_1928.1091_abe-no-nakamaro-seventh-poet-in-the-series-one-hundred-poems-by-one-hundred-poet.bmp,hokusai_photopainter/preview_800x480_jpg/0014_artic_1928.1091_abe-no-nakamaro-seventh-poet-in-the-series-one-hundred-poems-by-one-hundred-poet.jpg,4298dc4fb9222090d2a2caa49fae7894e1e7c9fbc5dd53bc0196892ea0a82a78
artic,1936.230,Admiring wisteria,c. 1801-07,"Katsushika Hokusai 葛飾 北斎 
Japanese, 1760-1849","Color woodblock print; ebangire, surimono",woodblock print; print; asian art,https://www.artic.edu/artworks/22823,"https://www.artic.edu/iiif/2/b7bd4931-8eb2-22bf-d72f-d7747c78c308/full/1686,/0/default.jpg",https://www.artic.edu/iiif/2/b7bd4931-8eb2-22bf-d72f-d7747c78c308/full/full/0/default.jpg,public_domain,hokusai_photopainter/originals/artic/0015_artic_1936.230_admiring-wisteria.jpg,hokusai_photopainter/photopainter_800x480_bmp/0015_artic_1936.230_admiring-wisteria.bmp,hokusai_photopainter/preview_800x480_jpg/0015_artic_1936.230_admiring-wisteria.jpg,0dd9de9cab657c3b34bfaebf04989b7a01fc75bbba20a75336b0902e773598f8
artic,1929.534,"Akasaka, from the series ""Fifty-three Stations of the Tokaido (Tokaido gojusan tsugi)""",c. 1806,"Katsushika Hokusai 葛飾 北斎
Japanese, 1760-1849",Color woodblock print; chuban,woodblock print; print; asian art,https://www.artic.edu/artworks/2985,"https://www.artic.edu/iiif/2/5c347490-881e-7f16-bb2a-ad70f0ce1c8c/full/1686,/0/default.jpg",https://www.artic.edu/iiif/2/5c347490-881e-7f16-bb2a-ad70f0ce1c8c/full/full/0/default.jpg,public_domain,hokusai_photopainter/originals/artic/0016_artic_1929.534_akasaka-from-the-series-fifty-three-stations-of-the-tokaido-tokaido-gojusan-tsug.jpg,hokusai_photopainter/photopainter_800x480_bmp/0016_artic_1929.534_akasaka-from-the-series-fifty-three-stations-of-the-tokaido-tokaido-gojusan-tsug.bmp,hokusai_photopainter/preview_800x480_jpg/0016_artic_1929.534_akasaka-from-the-series-fifty-three-stations-of-the-tokaido-tokaido-gojusan-tsug.jpg,1275bfb632788373317640c2ef24a1bed7006a06757a4ff418a03ba75140e567
artic,1954.836,Akutagawa,c. 1801/06,"Katsushika Hokusai 葛飾 北斎
Japanese, 1760-1849","Color woodblock print; kokonotsugiri-ban, surimono",woodblock print; print; asian art,https://www.artic.edu/artworks/81629,"https://www.artic.edu/iiif/2/6078f988-982e-9bd4-e847-528412e2d6ea/full/1686,/0/default.jpg",https://www.artic.edu/iiif/2/6078f988-982e-9bd4-e847-528412e2d6ea/full/full/0/default.jpg,public_domain,hokusai_photopainter/originals/artic/0017_artic_1954.836_akutagawa.jpg,hokusai_photopainter/photopainter_800x480_bmp/0017_artic_1954.836_akutagawa.bmp,hokusai_photopainter/preview_800x480_jpg/0017_artic_1954.836_akutagawa.jpg,5dda3c84828fd95287b6b395f7be475f8e227247b57b77e97743df025ddd22df
artic,1925.3394,"Amida Falls in the Far Reaches of the Kisokaido (Kisoji no oku Amidagataki), from the series ""A Tour of Waterfalls in Various Provinces (Shokoku taki meguri)""",About 1833,"Katsushika Hokusai 葛飾 北斎 
Japanese, 1760-1849",Color woodblock print; ōban,woodblock print; print; asian art,https://www.artic.edu/artworks/25201,"https://www.artic.edu/iiif/2/778f5ecd-af29-b0d0-6c15-6b4a603dfa0d/full/1686,/0/default.jpg",https://www.artic.edu/iiif/2/778f5ecd-af29-b0d0-6c15-6b4a603dfa0d/full/full/0/default.jpg,public_domain,hokusai_photopainter/originals/artic/0018_artic_1925.3394_amida-falls-in-the-far-reaches-of-the-kisokaido-kisoji-no-oku-amidagataki-from-t.jpg,hokusai_photopainter/photopainter_800x480_bmp/0018_artic_1925.3394_amida-falls-in-the-far-reaches-of-the-kisokaido-kisoji-no-oku-amidagataki-from-t.bmp,hokusai_photopainter/preview_800x480_jpg/0018_artic_1925.3394_amida-falls-in-the-far-reaches-of-the-kisokaido-kisoji-no-oku-amidagataki-from-t.jpg,fb6964936a426fe881d6042d18cd10d11d24fd0d283c4d23250827264f15cb56
artic,1925.3200,An Actor of Woman's Roles,1791,"Katsushika Hokusai 葛飾 北斎
Japanese, 1760-1849",Color woodblock print; hosoban,woodblock print; print; asian art,https://www.artic.edu/artworks/86977,"https://www.artic.edu/iiif/2/acb2c62e-b867-55ee-e623-0415ccb4e0dd/full/1686,/0/default.jpg",https://www.artic.edu/iiif/2/acb2c62e-b867-55ee-e623-0415ccb4e0dd/full/full/0/default.jpg,public_domain,hokusai_photopainter/originals/artic/0019_artic_1925.3200_an-actor-of-womans-roles.jpg,hokusai_photopainter/photopainter_800x480_bmp/0019_artic_1925.3200_an-actor-of-womans-roles.bmp,hokusai_photopainter/preview_800x480_jpg/0019_artic_1925.3200_an-actor-of-womans-roles.jpg,c7b3c3bba603746ec1a865c27d551d26c7af8da8684100a7f6efef3ec148c565
artic,1925.3205,"An Artisan’s Shop, from the album The Mist of Sandara (Sandara kasumi)",1798,"Katsushika Hokusai 葛飾 北斎
Japanese, 1760–1849",Color woodblock print; album plate,woodblock print; print; asian art,https://www.artic.edu/artworks/24474,"https://www.artic.edu/iiif/2/8f40998b-6aa6-0fd9-0e47-d68012afa5e4/full/1686,/0/default.jpg",https://www.artic.edu/iiif/2/8f40998b-6aa6-0fd9-0e47-d68012afa5e4/full/full/0/default.jpg,public_domain,hokusai_photopainter/originals/artic/0020_artic_1925.3205_an-artisans-shop-from-the-album-the-mist-of-sandara-sandara-kasumi.jpg,hokusai_photopainter/photopainter_800x480_bmp/0020_artic_1925.3205_an-artisans-shop-from-the-album-the-mist-of-sandara-sandara-kasumi.bmp,hokusai_photopainter/preview_800x480_jpg/0020_artic_1925.3205_an-artisans-shop-from-the-album-the-mist-of-sandara-sandara-kasumi.jpg,c70cbf1ad7785b1f1ed1221d4fdfcca42dbf753b19f1703e0be6f12833b00026
artic,1954.636,An Autumn Gift,n.d.,"Katsushika Hokusai 葛飾 北斎
Japanese, 1760-1849",Color woodblock print; surimono,woodblock print; print; asian art,https://www.artic.edu/artworks/81235,"https://www.artic.edu/iiif/2/cc2d7928-00d0-f88d-8b1e-a7cd93c21a25/full/1686,/0/default.jpg",https://www.artic.edu/iiif/2/cc2d7928-00d0-f88d-8b1e-a7cd93c21a25/full/full/0/default.jpg,public_domain,hokusai_photopainter/originals/artic/0021_artic_1954.636_an-autumn-gift.jpg,hokusai_photopainter/photopainter_800x480_bmp/0021_artic_1954.636_an-autumn-gift.bmp,hokusai_photopainter/preview_800x480_jpg/0021_artic_1954.636_an-autumn-gift.jpg,172f9159cddbcc265c7626beabccec95b95ac229f6e2753ee9ebf1c76174b57e
artic,1939.1152,An Illustrated New Edition of the Water Margin (Shinpen Suikogaden),1823/25,"Katsushika Hokusai 葛飾 北斎
Japanese, 1760-1849",Ink on paper; woodblock-printed books,woodblock print; print; asian art,https://www.artic.edu/artworks/33296,"https://www.artic.edu/iiif/2/fc890674-a623-68c8-262e-1fc2eb00c44e/full/1686,/0/default.jpg",https://www.artic.edu/iiif/2/fc890674-a623-68c8-262e-1fc2eb00c44e/full/full/0/default.jpg,public_domain,hokusai_photopainter/originals/artic/0022_artic_1939.1152_an-illustrated-new-edition-of-the-water-margin-shinpen-suikogaden.jpg,hokusai_photopainter/photopainter_800x480_bmp/0022_artic_1939.1152_an-illustrated-new-edition-of-the-water-margin-shinpen-suikogaden.bmp,hokusai_photopainter/preview_800x480_jpg/0022_artic_1939.1152_an-illustrated-new-edition-of-the-water-margin-shinpen-suikogaden.jpg,92d2f9102f18ebe8e506d64b56e38627bfa88216aad91fd7393819ff7eeba2a8
artic,1925.3388,"Ancient View of the Eight-planked Bridge in Mikawa Province (Mikawa no Yatsuhashi no kozu), from the series ""Unusual Views of Famous Bridges in Various Provinces (Shokoku meikyo kiran)""",c. 1833/34,"Katsushika Hokusai 葛飾 北斎 
Japanese, 1760-1849",Color woodblock print; oban,woodblock print; print; asian art,https://www.artic.edu/artworks/25178,"https://www.artic.edu/iiif/2/e85fb4d8-f243-74d9-2364-8b8bc001d9bf/full/1686,/0/default.jpg",https://www.artic.edu/iiif/2/e85fb4d8-f243-74d9-2364-8b8bc001d9bf/full/full/0/default.jpg,public_domain,hokusai_photopainter/originals/artic/0024_artic_1925.3388_ancient-view-of-the-eight-planked-bridge-in-mikawa-province-mikawa-no-yatsuhashi.jpg,hokusai_photopainter/photopainter_800x480_bmp/0024_artic_1925.3388_ancient-view-of-the-eight-planked-bridge-in-mikawa-province-mikawa-no-yatsuhashi.bmp,hokusai_photopainter/preview_800x480_jpg/0024_artic_1925.3388_ancient-view-of-the-eight-planked-bridge-in-mikawa-province-mikawa-no-yatsuhashi.jpg,f5fd38f2c969769d2913444a96cbef53bf9ac803fdd97ee9c908d6a3b19047bc
artic,1925.3386,"Ancient View of the Pontoon Bridge at Sano in Kozuke Province (Kozuke Sano funabashi no kozu), from the series ""Unusual Views of Famous Bridges in Various Provinces (Shokoku meikyo kiran)""",c. 1833/34,"Katsushika Hokusai 葛飾 北斎 
Japanese, 1760-1849",Color woodblock print; oban,woodblock print; print; asian art,https://www.artic.edu/artworks/25172,"https://www.artic.edu/iiif/2/5f8f3656-0f9c-eb9d-1b88-7985443d6247/full/1686,/0/default.jpg",https://www.artic.edu/iiif/2/5f8f3656-0f9c-eb9d-1b88-7985443d6247/full/full/0/default.jpg,public_domain,hokusai_photopainter/originals/artic/0025_artic_1925.3386_ancient-view-of-the-pontoon-bridge-at-sano-in-kozuke-province-kozuke-sano-funaba.jpg,hokusai_photopainter/photopainter_800x480_bmp/0025_artic_1925.3386_ancient-view-of-the-pontoon-bridge-at-sano-in-kozuke-province-kozuke-sano-funaba.bmp,hokusai_photopainter/preview_800x480_jpg/0025_artic_1925.3386_ancient-view-of-the-pontoon-bridge-at-sano-in-kozuke-province-kozuke-sano-funaba.jpg,74d661be42801c3dddf9cbd5497f139b5089c10afc7cc6a0f6d389eca7fab32b
artic,1925.3392,"Aoigaoka Falls in the Eastern Capital (Toto Aoigaoka no taki), from the series ""A Tour of Waterfalls in Various Provinces (Shokoku taki meguri)""",About 1833,"Katsushika Hokusai 葛飾 北斎 
Japanese, 1760-1849",Color woodblock print; ōban,woodblock print; print; asian art,https://www.artic.edu/artworks/25192,"https://www.artic.edu/iiif/2/80e7d98c-3072-26cb-a432-d377bac0e93a/full/1686,/0/default.jpg",https://www.artic.edu/iiif/2/80e7d98c-3072-26cb-a432-d377bac0e93a/full/full/0/default.jpg,public_domain,hokusai_photopainter/originals/artic/0026_artic_1925.3392_aoigaoka-falls-in-the-eastern-capital-toto-aoigaoka-no-taki-from-the-series-a-to.jpg,hokusai_photopainter/photopainter_800x480_bmp/0026_artic_1925.3392_aoigaoka-falls-in-the-eastern-capital-toto-aoigaoka-no-taki-from-the-series-a-to.bmp,hokusai_photopainter/preview_800x480_jpg/0026_artic_1925.3392_aoigaoka-falls-in-the-eastern-capital-toto-aoigaoka-no-taki-from-the-series-a-to.jpg,c93d09a6adb0ee909851275d09a3ce2bafe6cd851e5346c80e80888ca5c4d51e
